timestamp,waypoint_index,pixel_x,pixel_y,area,world_x,world_y,world_z
2026-01-23T13:40:36.372307,0,23,197,629.5,-0.7548962436198401,1.6103107854162635,1.0338341200729748
2026-01-23T13:40:58.369693,0,9,410,527.0,-0.7530235255875279,0.7074499154516004,1.0784682018873626
2026-01-23T13:43:23.366931,7,380,38,5024.0,-0.7582162711837467,0.5434869084683608,0.9430718994917215
2026-01-23T13:43:49.368496,0,194,321,624.5,-2.7312942691320448,0.9600342052371295,-0.05424828254832059
2026-01-23T13:43:49.869774,0,174,280,617.5,-0.9434610393097016,1.546422118425982,0.8814458759605416
2026-01-23T13:43:50.868194,0,144,226,642.0,-2.5890624553491377,1.5560870814262422,-0.07932570098042224
2026-01-23T13:43:52.871135,0,96,122,713.5,-2.1165205272248144,2.003381954175777,-0.08986587850052352
2026-01-23T13:43:54.370046,0,68,57,814.0,-1.9123275177815962,2.212718012367159,-0.1517767504298284
2026-01-23T13:44:00.368200,1,43,254,1627.5,-1.1643065972093407,0.592562284037956,0.4755381417889344
2026-01-23T13:44:06.869326,1,501,268,1764.0,-0.9651621718691894,0.5450445970732409,0.44590982091920184
2026-01-23T13:44:47.866737,7,148,148,12243.5,-1.472976101854616,0.7889371472449971,1.1797078361366697
